source,model,protocol,pass,kind,domain,n,raw_agr,k_unw,k_lin,k_quad,ci_lin_lo,ci_lin_hi,ci_quad_lo,ci_quad_hi
gemma4_26b_fulltext_pass1,gemma4_26b,fulltext,1,single_pass,d2,78,0.4230769230769231,0.1290322580645161,0.13793103448275873,0.15094339622641506,0.0,0.2730478589420654,-0.011158516573679162,0.3304721030042917
gemma4_26b_fulltext_pass1,gemma4_26b,fulltext,1,single_pass,d3,78,0.5128205128205128,0.06291495415744541,0.07981927710843363,0.09882687522218266,-0.05813953488372105,0.2279005524861879,-0.09401061410159224,0.2949571836346337
gemma4_26b_fulltext_pass1,gemma4_26b,fulltext,1,single_pass,d4,78,0.48717948717948717,0.18813427010148315,0.23682108626198076,0.28781684382665573,0.10556971241354202,0.37244897959183676,0.12455516014234903,0.4570458404074703
gemma4_26b_fulltext_pass1,gemma4_26b,fulltext,1,single_pass,d5,78,0.5641025641025641,0.19220225403594265,0.2173913043478261,0.25678894711767514,0.03620689655172413,0.3709677419354837,0.056028686687583484,0.43527863097849945
gemma4_26b_fulltext_pass1,gemma4_26b,fulltext,1,single_pass,overall,78,0.4358974358974359,0.15321983715766102,0.16028708133971292,0.16853932584269643,0.04033884630899532,0.29489754921655287,0.0,0.3465715172199811
gemma4_26b_fulltext_pass2,gemma4_26b,fulltext,2,single_pass,d1,78,0.38461538461538464,0.10537634408602156,0.1333333333333334,0.18431372549019623,0.04968944099378897,0.24052631578947345,0.06672802577082403,0.33124215809284824
gemma4_26b_fulltext_pass2,gemma4_26b,fulltext,2,single_pass,d2,78,0.44871794871794873,0.14937864570124273,0.16453965360072914,0.18719211822660084,0.041297935103244726,0.28967909800520375,0.03345724907063227,0.3421686746987953
gemma4_26b_fulltext_pass2,gemma4_26b,fulltext,2,single_pass,d3,78,0.5128205128205128,0.09936189608021877,0.13537735849056584,0.1739980449657867,-0.021834061135371417,0.32369942196531787,-0.03856749311294786,0.4024928589976629
gemma4_26b_fulltext_pass2,gemma4_26b,fulltext,2,single_pass,d4,78,0.5128205128205128,0.2142099681866383,0.262914741705166,0.31741323049540193,0.12568908489525898,0.40516229956980837,0.14847161572052392,0.4970691676436111
gemma4_26b_fulltext_pass2,gemma4_26b,fulltext,2,single_pass,d5,78,0.5769230769230769,0.202355128602417,0.20677966101694942,0.2136341814690354,0.011615628299894227,0.3794932233352974,-0.013226263580538994,0.4044233807266982
gemma4_26b_fulltext_pass2,gemma4_26b,fulltext,2,single_pass,overall,78,0.46153846153846156,0.18222666000998505,0.20375663536137215,0.22957198443579763,0.05884843353090598,0.34636871508379885,0.043907793633370135,0.4034632034632037
gemma4_26b_fulltext_pass3,gemma4_26b,fulltext,3,single_pass,d1,78,0.38461538461538464,0.10537634408602156,0.1333333333333334,0.18431372549019623,0.05081127241673784,0.2425196850393699,0.06575857209957779,0.3241590214067279
gemma4_26b_fulltext_pass3,gemma4_26b,fulltext,3,single_pass,d2,78,0.4230769230769231,0.14702308626974486,0.15356265356265364,0.1619433198380569,0.04516673701983959,0.2771693344566134,0.022749752720078915,0.3290949887808526
gemma4_26b_fulltext_pass3,gemma4_26b,fulltext,3,single_pass,d3,78,0.5256410256410257,0.12386156648451743,0.1883052527254706,0.2652173913043481,0.02831257078142697,0.3606557377049181,0.030386740331491552,0.47686832740213514
gemma4_26b_fulltext_pass3,gemma4_26b,fulltext,3,single_pass,d4,78,0.47435897435897434,0.16085017055890835,0.225929054054054,0.30124506529000916,0.1016042780748665,0.34587488667271066,0.1524573721163489,0.46435578809679534
gemma4_26b_fulltext_pass3,gemma4_26b,fulltext,3,single_pass,d5,78,0.5512820512820513,0.17547568710359418,0.20099667774086383,0.2411010915994308,-0.0015408320493068073,0.37166666666666653,0.008321775312066305,0.4150943396226415
gemma4_26b_fulltext_pass3,gemma4_26b,fulltext,3,single_pass,overall,78,0.4358974358974359,0.1496531219028741,0.19959758551307852,0.2585551330798478,0.07285276073619626,0.339782345828295,0.11449886474213426,0.42961608775137106
qwen3_6_35b_abstract_pass1,qwen3_6_35b,abstract,1,single_pass,d1,78,0.2948717948717949,0.02054794520547948,0.02188782489740093,0.024556616643928875,0.0,0.054927302100161474,0.0,0.06241331484049947
qwen3_6_35b_abstract_pass1,qwen3_6_35b,abstract,1,single_pass,d2,78,0.41025641025641024,0.08609271523178805,0.13253012048192755,0.20408163265306112,-0.004861448711716226,0.25000000000000006,0.03915530136383629,0.35375722543352606
qwen3_6_35b_abstract_pass1,qwen3_6_35b,abstract,1,single_pass,d3,78,0.46153846153846156,0.11219512195121954,0.17853560682046118,0.2853403141361257,0.08105560791705957,0.2954101562499999,0.12868632707774805,0.4295002031694432
qwen3_6_35b_abstract_pass1,qwen3_6_35b,abstract,1,single_pass,d4,78,0.47435897435897434,0.15886375591793786,0.18410041841004185,0.22029422859298403,0.07752956636005252,0.295754026354319,0.09163802978235965,0.36320191158900855
qwen3_6_35b_abstract_pass1,qwen3_6_35b,abstract,1,single_pass,d5,78,0.44871794871794873,0.13756749807148366,0.12250000000000001,0.09474182851729043,0.0,0.2364760432766615,-0.08192457737321256,0.239325250395361
qwen3_6_35b_abstract_pass1,qwen3_6_35b,abstract,1,single_pass,overall,78,0.41025641025641024,0.04701195219123503,0.07142857142857148,0.10769230769230735,-0.036090225563909964,0.197943444730077,-0.033918128654970806,0.268148148148148
qwen3_6_35b_abstract_pass2,qwen3_6_35b,abstract,2,single_pass,d1,78,0.2948717948717949,0.02054794520547948,0.02188782489740093,0.024556616643928875,0.0,0.058495821727019476,0.0,0.0692124105011936
qwen3_6_35b_abstract_pass2,qwen3_6_35b,abstract,2,single_pass,d2,78,0.3974358974358974,0.07025107785949783,0.09343664539653612,0.1280788177339902,-0.021680216802168133,0.19784524975514192,-0.0029673590504452306,0.26530612244897966
qwen3_6_35b_abstract_pass2,qwen3_6_35b,abstract,2,single_pass,d3,78,0.3974358974358974,0.10169076206812054,0.1434579439252334,0.21633176571184254,0.06111111111111081,0.2448132780082986,0.07874015748031499,0.35723830734966555
qwen3_6_35b_abstract_pass2,qwen3_6_35b,abstract,2,single_pass,d4,78,0.47435897435897434,0.12070387682155617,0.15558912386706944,0.21025420077552784,0.01663090128755367,0.2831594634873321,0.06436512580456427,0.34007428807263745
qwen3_6_35b_abstract_pass2,qwen3_6_35b,abstract,2,single_pass,d5,78,0.4358974358974359,0.12582781456953648,0.1372549019607845,0.15923566878980894,0.03392568659127625,0.23298033282904676,0.045393858477970554,0.26113671274961564
qwen3_6_35b_abstract_pass2,qwen3_6_35b,abstract,2,single_pass,overall,78,0.41025641025641024,0.029483364890451655,0.06772908366533845,0.12849162011173199,-0.03755868544600923,0.1833616298811543,-0.017989417989417958,0.2724594992636229
qwen3_6_35b_abstract_pass3,qwen3_6_35b,abstract,3,single_pass,d1,78,0.28205128205128205,0.010197144799456128,0.010869565217391361,0.012211668928086747,0.0,0.037685060565275805,-6.29799243060089e-16,0.04339622641509477
qwen3_6_35b_abstract_pass3,qwen3_6_35b,abstract,3,single_pass,d2,78,0.41025641025641024,0.07787201233616034,0.10784313725490204,0.1538461538461538,-0.007844946931241128,0.22037125178486416,0.010869565217391602,0.2852233676975943
qwen3_6_35b_abstract_pass3,qwen3_6_35b,abstract,3,single_pass,d3,78,0.44871794871794873,0.10726643598615915,0.14263803680981582,0.20558976788252042,0.07095793208312205,0.24182076813655784,0.09659931000492877,0.3240901213171579
qwen3_6_35b_abstract_pass3,qwen3_6_35b,abstract,3,single_pass,d4,78,0.48717948717948717,0.1958762886597938,0.247529411764706,0.3278557114228461,0.10943558810857378,0.39826422372227566,0.145985401459854,0.49048152295632674
qwen3_6_35b_abstract_pass3,qwen3_6_35b,abstract,3,single_pass,d5,78,0.44871794871794873,0.12701717855283703,0.14132104454685102,0.16856717897868123,0.016806722689075716,0.2540983606557377,0.03815728245695702,0.28341754708314193
qwen3_6_35b_abstract_pass3,qwen3_6_35b,abstract,3,single_pass,overall,78,0.3974358974358974,0.00027270248159255316,0.07048681541582145,0.1849710982658959,-0.047897196261682234,0.19566367001586465,0.05797101449275389,0.31638913234005284
qwen3_6_35b_fulltext_pass1,qwen3_6_35b,fulltext,1,single_pass,d1,78,0.3974358974358974,0.09548482605477422,0.10857142857142849,0.1321762349799735,-0.020523345305284636,0.24471830985915505,-0.01534170153417039,0.3145869947275922
qwen3_6_35b_fulltext_pass1,qwen3_6_35b,fulltext,1,single_pass,d2,78,0.48717948717948717,0.17219421597240642,0.1851311953352768,0.20540540540540528,0.038862559241706146,0.32758620689655177,0.03949044585987239,0.3775649794801641
qwen3_6_35b_fulltext_pass1,qwen3_6_35b,fulltext,1,single_pass,d3,78,0.6025641025641025,0.12896253602305474,0.17894736842105277,0.23789294817332174,-0.0031176929072488277,0.3664717348927876,0.008665511265164492,0.49086161879895573
qwen3_6_35b_fulltext_pass1,qwen3_6_35b,fulltext,1,single_pass,d4,78,0.6410256410256411,0.3002242870874721,0.3359133126934983,0.37727441515039,0.17156862745098037,0.5017421602787454,0.18592964824120586,0.5556399544246107
qwen3_6_35b_fulltext_pass1,qwen3_6_35b,fulltext,1,single_pass,d5,78,0.48717948717948717,0.1677780741531075,0.19587628865979398,0.24674070497344297,0.05835010060362158,0.33862144420131307,0.10239549084077013,0.39378238341968885
qwen3_6_35b_fulltext_pass1,qwen3_6_35b,fulltext,1,single_pass,overall,78,0.5,0.2078125,0.21265141318977135,0.21917808219178095,0.06045454545454541,0.36355394378966466,0.031372549019607565,0.41493775933609944
qwen3_6_35b_fulltext_pass2,qwen3_6_35b,fulltext,2,single_pass,d1,78,0.44871794871794873,0.14395099540581927,0.15431164901664124,0.17429837518463806,0.05614714424007731,0.27540983606557373,0.07007299270073027,0.2909090909090911
qwen3_6_35b_fulltext_pass2,qwen3_6_35b,fulltext,2,single_pass,d2,78,0.46153846153846156,0.13857480936103078,0.13943661971830978,0.1407035175879397,0.00907441016333933,0.26341948310139157,0.006282722513089273,0.29230769230769227
qwen3_6_35b_fulltext_pass2,qwen3_6_35b,fulltext,2,single_pass,d3,78,0.6538461538461539,0.1840371948857033,0.25370370370370393,0.33260201842913545,0.06744328632740669,0.46400523560209433,0.08538785327720964,0.5955168952827034
qwen3_6_35b_fulltext_pass2,qwen3_6_35b,fulltext,2,single_pass,d4,78,0.6153846153846154,0.2775548008644644,0.32564841498559083,0.37745261057532414,0.15634218289085558,0.4994165694282377,0.18129770992366398,0.5806451612903224
qwen3_6_35b_fulltext_pass2,qwen3_6_35b,fulltext,2,single_pass,d5,78,0.46153846153846156,0.12616697786076292,0.15567010309278348,0.20907774022211525,-0.003355704697986595,0.2996408414571576,0.03305785123966885,0.37288135593220323
qwen3_6_35b_fulltext_pass2,qwen3_6_35b,fulltext,2,single_pass,overall,78,0.48717948717948717,0.1946308724832215,0.22857142857142865,0.27312775330396466,0.08198051948051945,0.3679694947569114,0.0813165537270091,0.46533490011750855
qwen3_6_35b_fulltext_pass3,qwen3_6_35b,fulltext,3,single_pass,d1,78,0.44871794871794873,0.15495086923658352,0.17551622418879034,0.2137834036568218,0.05974842767295594,0.3003679852805888,0.07007299270073027,0.37674790251697965
qwen3_6_35b_fulltext_pass3,qwen3_6_35b,fulltext,3,single_pass,d2,78,0.4358974358974359,0.1094966268811624,0.12868632707774805,0.1545454545454545,-0.03235294117647042,0.27502383222116306,-0.027247956403269897,0.3393902063443179
qwen3_6_35b_fulltext_pass3,qwen3_6_35b,fulltext,3,single_pass,d3,78,0.6025641025641025,0.14829165199013736,0.20188053097345127,0.26073500967118,0.006369426751592454,0.4116379310344826,0.006094182825484856,0.5152109911678114
qwen3_6_35b_fulltext_pass3,qwen3_6_35b,fulltext,3,single_pass,d4,78,0.6153846153846154,0.2557251908396947,0.30694668820678495,0.3733003708281829,0.14222873900293248,0.47017129356172455,0.1744966442953021,0.558073654390935
qwen3_6_35b_fulltext_pass3,qwen3_6_35b,fulltext,3,single_pass,d5,78,0.41025641025641024,0.045744680851063764,0.0620490620490622,0.08679854662898662,-0.06926406926406929,0.208636836628512,-0.08196721311475438,0.26130653266331666
qwen3_6_35b_fulltext_pass3,qwen3_6_35b,fulltext,3,single_pass,overall,78,0.44871794871794873,0.14829862874555616,0.17267713194739082,0.20331950207468852,0.0341047503045066,0.32089552238805963,0.013239187996469321,0.39506172839506165
sonnet_4_6_abstract_pass1,sonnet_4_6,abstract,1,single_pass,d1,78,0.2948717948717949,0.02054794520547948,0.02188782489740093,0.024556616643928875,0.0,0.05758354755784034,0.0,0.06399999999999972
sonnet_4_6_abstract_pass1,sonnet_4_6,abstract,1,single_pass,d2,78,0.4358974358974359,0.10251046025104606,0.11637487126673533,0.14285714285714296,-0.024242424242424367,0.24678111587982832,0.0005125576627370029,0.27662957074721745
sonnet_4_6_abstract_pass1,sonnet_4_6,abstract,1,single_pass,d3,78,0.47435897435897434,0.1173060999171956,0.17470472440944868,0.2587949858471492,0.07889447236180905,0.30026385224274416,0.10447761194029864,0.42669845053635264
sonnet_4_6_abstract_pass1,sonnet_4_6,abstract,1,single_pass,d4,78,0.4230769230769231,0.13032705649157578,0.15340086830680186,0.19606046724690784,0.054347826086956603,0.24765380604796644,0.08827085852478868,0.30769230769230776
sonnet_4_6_abstract_pass1,sonnet_4_6,abstract,1,single_pass,d5,78,0.34615384615384615,0.05218012866333097,0.04878048780487818,0.04229195088676647,0.0031948881789137036,0.10284167794316665,-0.01788303528274532,0.10746268656716405
sonnet_4_6_abstract_pass1,sonnet_4_6,abstract,1,single_pass,overall,78,0.46153846153846156,0.08873435326842842,0.12406417112299435,0.18709677419354842,0.019298245614034988,0.2428977272727274,0.05075090626618279,0.3225806451612899
sonnet_4_6_abstract_pass2,sonnet_4_6,abstract,2,single_pass,d1,78,0.3076923076923077,0.031055900621118016,0.03305785123966959,0.037037037037036764,0.0,0.07407407407407414,0.0,0.08152173913043519
sonnet_4_6_abstract_pass2,sonnet_4_6,abstract,2,single_pass,d2,78,0.44871794871794873,0.11480601741884407,0.129283489096573,0.15686274509803935,-0.012499999999999956,0.2618296529968457,0.014440433212996234,0.286189683860233
